facilityInternal,agencyInternal,stateInternal,company,createdAt,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
"KY DOC - ROSS CASH CENTER FOR WOMEN","","KY","SECURUS","2021-01-08T20:44:20.450Z","Ross-Cash Center","374 New Bethel Church Rd, Fredonia, KY 42411, United States","-88.04045830000001","37.1370326","Lyon County","ChIJbRdW8BGFeogRjvgqJnYDeOw","KY"
"KY DOC - SOUTHEAST STATE CORRECTIONAL COMPLEX","","KY","SECURUS","2021-01-08T20:44:50.752Z","Eastern Kentucky Correctional Complex","200 Rd to Justice, West Liberty, KY 41472, United States","-83.2706704","37.9040366","Morgan County","ChIJ8U_dtnJnRIgRRbEayNd_EYk","KY"
"KY DOC - WESTERN KENTUCKY CORRECTIONAL FACILITY FOR MEN","","KY","SECURUS","2021-01-08T20:45:22.342Z","Western Kentucky Correctional Complex","374 New Bethel Church Rd, Fredonia, KY 42411, United States","-88.03968809999999","37.1383247","Lyon County","ChIJDSNAKg6FeogRlT17_BiCRmc","KY"
"LETCHER COUNTY JAIL","","KY","SECURUS","2021-01-08T20:45:46.355Z","Letcher County Jail","156 E Main St, Whitesburg, KY 41858, United States","-82.8268157","37.1179815","Letcher County","ChIJ_YyNQnkrRYgR6u91kGF19Ro","KY"
"LEWIS COUNTY DETENTION CENTER","","KY","SECURUS","2021-01-08T20:46:20.847Z","Lewis County Detention Center","26 Railroad St, Vanceburg, KY 41179, United States","-83.31701029999999","38.6006334","Lewis County","ChIJN3eHTmyjRogROsGo036rgYo","KY"
"LEXINGTON FAYETTE URBAN DETENTION","","KY","SECURUS","2021-01-08T20:46:58.271Z","Community Corrections","600 Old Frankfort Cir, Lexington, KY 40510, United States","-84.54482449999999","38.06596589999999","Fayette County","ChIJ9-g8o6BDQogRoyhCC8U55Ts","KY"
"LOUISVILLE / JEFFERSON COUNTY METRO GOVT - COMMUNITY CORRECTIONAL CENTER","","KY","SECURUS","2021-01-08T20:47:25.245Z","Community Correctional Center","316 E Chestnut St, Louisville, KY 40202, United States","-85.7483731","38.2475365","Jefferson County","ChIJs6XfALdyaYgRy9UNdxra4v4","KY"
"LOUISVILLE / JEFFERSON COUNTY METRO GOVT - CORRECTIONS","","KY","SECURUS","2021-01-08T20:48:05.063Z","Louisville Metro Department of Corrections","400 S 6th St, Louisville, KY 40202, United States","-85.7606373","38.2533265","Jefferson County","ChIJD5O5zKVyaYgRBTG_azpW6hI","KY"
"LOUISVILLE / JEFFERSON COUNTY METRO GOVT - HALL OF JUSTICE","","KY","SECURUS","2021-01-08T20:48:32.929Z","Louis D. Brandeis Hall of Justice","600 W Jefferson St #2008, Louisville, KY 40202, United States","-85.76072549999999","38.2539324","Jefferson County","ChIJPz2lKKRyaYgR63-hE-_roJE","KY"
"SCOTT COUNTY DETENTION CENTER","","KY","SECURUS","2021-01-08T20:49:10.728Z","Scott County Detention Center","Georgetown, KY 40324, United States","-84.55872289999999","38.2109529","Scott County","ChIJT6oEWXM_QogRRUK1zlUMlNc","KY"
"THREE FORKS REGIONAL JAIL","","KY","SECURUS","2021-01-08T20:49:38.138Z","Three Forks Regional Jail","2221 Fairgrounds Ridge Rd, Beattyville, KY 41311, United States","-83.7102044","37.6054549","Lee County","ChIJrx-z5VlkQ4gR02VCYCyjz6A","KY"
"WARREN COUNTY REGIONAL JAIL","","KY","SECURUS","2021-01-08T20:50:06.744Z","Warren County Regional Jail","920 Kentucky St, Bowling Green, KY 42101, United States","-86.4440758","36.9951353","Warren County","ChIJjVOPMjfvZYgR5s1-ntbYo9w","KY"
"WOODFORD COUNTY FISCAL CT","","KY","SECURUS","2021-01-08T20:50:51.450Z","Woodford Fiscal Court Clerk","103 S Main St #200, Versailles, KY 40383, United States","-84.7306375","38.052688","Woodford County","ChIJ98zjkgpvQogRf2n-CHwRAxE","KY"
"BERWICK CITY POLICE DEPT","","LA","SECURUS","2021-01-08T20:51:22.414Z","Town of Berwick Police Department","400 Canton St, Berwick, LA 70342, United States","-91.218807","29.6930419","St. Mary Parish","ChIJOXB7DlPfI4YRK3Ir16tCDMw","LA"
"CEDARWOOD MANOR WOMEN'S","","LA","SECURUS","2021-01-08T20:51:49.628Z","Cedarwood Manor","800 Ave J, Lake Charles, LA 70615, United States","-93.16463189999999","30.2236559","Calcasieu Parish","ChIJw0KjuOSDO4YRf9qizp4sBCc","LA"
"EAST CARROLL RIVERBEND PHASE 2","","LA","SECURUS","2021-01-08T20:52:16.762Z","River Bend Detention Center","9450 US-65, Lake Providence, LA 71254, United States","-91.1793994","32.7771327","East Carroll Parish","ChIJjX7RD2VLKYYR3vIJ9SzdRc4","LA"
"EAST CARROLL RIVERBEND PHASE 3","","LA","SECURUS","2021-01-08T20:53:34.465Z","River Bend Detention Center","9450 US-65, Lake Providence, LA 71254, United States","-91.1793994","32.7771327","East Carroll Parish","ChIJjX7RD2VLKYYR3vIJ9SzdRc4","LA"
"EAST CARROLL RIVERBEND PHASE I","","LA","SECURUS","2021-01-08T20:54:00.646Z","River Bend Detention Center","9450 US-65, Lake Providence, LA 71254, United States","-91.1793994","32.7771327","East Carroll Parish","ChIJjX7RD2VLKYYR3vIJ9SzdRc4","LA"
"JEFFERSON PARISH (GRETNA)","","LA","SECURUS","2021-01-08T20:54:26.256Z","Gretna","Gretna, LA, USA","-90.0539603","29.9146493","Jefferson Parish","ChIJ8eVlUJOmIIYRp9D28B-LDsA","LA"
"KENNER POLICE DEPT","","LA","SECURUS","2021-01-08T20:54:52.354Z","Kenner Police Department","500 Veterans Memorial Blvd, Kenner, LA 70062, United States","-90.2640043","30.006161","Jefferson Parish","ChIJPWzZVKa3IIYRFYTLp-kUMW0","LA"
"LA DOC - ACADIANA CENTER FOR YOUTH","","LA","SECURUS","2021-01-08T20:55:40.472Z","Acadiana Center for the Arts","101 W Vermilion St, Lafayette, LA 70501, United States","-92.019131","30.2238027","Lafayette Parish","ChIJGw7wjo-cJIYRYOs7y066bTg","LA"
"LA DOC - ALLEN CORRECTIONAL CENTER (PRIVATE)","","LA","SECURUS","2021-01-08T20:56:08.394Z","Allen Correctional Center","3751 Lauderdale Woodyard Rd, Kinder, LA 70648, United States","-92.790184","30.5632095","Allen Parish","ChIJ654lzewVO4YRVMfN3226l4I","LA"
"LA DOC - BB SIXTY RAYBURN CORRECTIONAL CENTER","","LA","SECURUS","2021-01-08T20:56:35.366Z","B.B. Sixty Rayburn Correctional Center","27268 LA-21, Angie, LA 70426, United States","-89.81787870000001","30.921875","Washington Parish","ChIJcWDTI-t3nYgR9v-OYSKaZUI","LA"
"LA DOC - BRIDGE CITY CENTER FOR YOUTH","","LA","SECURUS","2021-01-08T20:57:02.167Z","Bridge City Center for Youth","3225 River Rd, Bridge City, LA 70094, United States","-90.1678486","29.938269","Jefferson Parish","ChIJq13ar-e6IIYRpnqA_gjtm8I","LA"
"LA DOC - COLUMBIA CENTER FOR YOUTH","","LA","SECURUS","2021-01-08T20:57:43.152Z","Swanson Center for Youth at COLUMBIA","132 LA-850, Columbia, LA 71418, United States","-92.10772779999999","32.0758031","Caldwell Parish","ChIJV0rRQda4L4YRGezYGcyINqQ","LA"
"LA DOC - DAVID WADE CORRECTIONAL CENTER","","LA","SECURUS","2021-01-08T20:58:21.048Z","David Wade Correctional Center","670 Bell Hill Rd, Homer, LA 71040, United States","-93.0193999","32.9056733","Claiborne Parish","ChIJx-HbyXmDMYYR6RAUTSeuerU","LA"
"LA DOC - DIXON CORRECTIONAL INSTITUTE","","LA","SECURUS","2021-01-08T20:58:47.152Z","Dixon Correctional Institute","5568 LA-68, Jackson, LA 70748, United States","-91.20651889999999","30.8128306","East Feliciana Parish","ChIJaXTDK_-BJoYRcWbVKS8PVQw","LA"
"LA DOC - ELAYN HUNT CORRECTIONAL CENTER","","LA","SECURUS","2021-01-08T20:59:26.143Z","Elayn Hunt Correctional Center","6925 LA-74, St Gabriel, LA 70776, United States","-91.0868759","30.2647933","Iberville Parish","ChIJa8hF4m2uJoYRi2NWyiA6bO4","LA"
"LA DOC - JETSON CENTER FOR YOUTH","","LA","SECURUS","2021-01-08T20:59:53.045Z","Jetson Center For Youth","15200 Scenic Hwy, Baker, LA 70714, United States","-91.20603969999999","30.5842095","East Baton Rouge Parish","ChIJZ93LRxuhJoYRgR_P-pN2MhU","LA"
"LA DOC - LSP CAMP C","","LA","SECURUS","2021-01-08T21:00:18.756Z","The Department of Public Safety and Corrections","504 Mayflower St, Baton Rouge, LA 70802, United States","-91.1861326","30.4402105","East Baton Rouge Parish","ChIJm36Smc-gJoYR5FgeByQlYOA","LA"
"LA DOC - LSP CAMP D","","LA","SECURUS","2021-01-08T21:00:57.365Z","Louisiana State Penitentiary","17544 Tunica Trace, Angola, LA 70712, United States","-91.56775569999999","30.939694","West Feliciana Parish","ChIJmzo9rFy0JYYR2-AK2TlutyI","LA"
"LA DOC - LSP CAMP J","","LA","SECURUS","2021-01-08T21:02:11.144Z","Louisiana State Penitentiary","17544 Tunica Trace, Angola, LA 70712, United States","-91.56775569999999","30.939694","West Feliciana Parish","ChIJmzo9rFy0JYYR2-AK2TlutyI","LA"
"LA DOC - LSP DOG PEN","","LA","SECURUS","2021-01-08T21:02:42.738Z","Louisiana State Penitentiary","17544 Tunica Trace, Angola, LA 70712, United States","-91.56775569999999","30.939694","West Feliciana Parish","ChIJmzo9rFy0JYYR2-AK2TlutyI","LA"
"LA DOC - LSP MAIN","","LA","SECURUS","2021-01-08T21:03:21.439Z","Louisiana Division of Probation / Parole Office","504 Mayflower St, Baton Rouge, LA 70802, United States","-91.1861326","30.4402105","East Baton Rouge Parish","ChIJm36Smc-gJoYRYy_bEROpdNE","LA"
"LA DOC - RAYMOND LABORDE CORRECTIONAL CENTER","","LA","SECURUS","2021-01-08T21:04:59.161Z","Raymond Laborde Correctional Center","1630 Prison Rd, Cottonport, LA 71327, United States","-92.03396509999999","30.9744627","Avoyelles Parish","ChIJBWPtAocbJYYRGPF6kZ3JW7Y","LA"
"LA DOC - STATE POLICE BARRACKS","","LA","SECURUS","2021-01-08T21:05:25.135Z","State Police Department","1240 LA-594, Monroe, LA 71203, United States","-91.9896065","32.5185968","Ouachita Parish","ChIJo5KPNP5PLoYRalw5Tdpww2I","LA"
"LA DOC - SWANSON CENTER FOR YOUTH","","LA","SECURUS","2021-01-08T21:06:04.578Z","Swanson Center for Youth at COLUMBIA","132 LA-850, Columbia, LA 71418, United States","-92.10772779999999","32.0758031","Caldwell Parish","ChIJV0rRQda4L4YRGezYGcyINqQ","LA"
"MOREHOUSE PARISH ANNEX","","LA","SECURUS","2021-01-08T21:06:47.754Z","Annex","4729 Eugene Ware Blvd, Bastrop, LA 71220, United States","-91.9399741","32.7813683","Morehouse Parish","ChIJUSf2lI9mLoYRJdky2Obxf70","LA"
"MOREHOUSE PARISH DETENTION CENTER","","LA","SECURUS","2021-01-08T21:07:15.662Z","Morehouse Parish Correctional","6444 Patey Rd, Collinston, LA 71229, United States","-91.85077659999999","32.683319","Morehouse Parish","ChIJO6ATqOpfLoYR63vBR8DZTVY","LA"
"MOREHOUSE PARISH JAIL","","LA","SECURUS","2021-01-08T21:07:59.656Z","Morehouse Parish Jail","250 E Walnut Ave, Bastrop, LA 71220, United States","-91.9126622","32.7750502","Morehouse Parish","ChIJs-tbXLRmLoYRY3KhA9Kmd_w","LA"
"NATCHITOCHES PARISH WORK CENTER","","LA","SECURUS","2021-01-08T21:08:25.985Z","Natchitoches American Job Center East","303 Bienville St, Natchitoches, LA 71457, United States","-93.0793714","31.751717","Natchitoches Parish","ChIJt-cCO0B9MIYRxu8xjVAWkLY","LA"
"ORLEANS JUSTICE CENTER","","LA","SECURUS","2021-01-08T21:08:53.852Z","New Orleans Family Justice Center","701 Loyola Ave # 201, New Orleans, LA 70113, United States","-90.0777427","29.9481927","Orleans Parish","ChIJ8484_96lIIYR4y2ylW9OhBk","LA"
"ORLEANS PARISH","","LA","SECURUS","2021-01-08T21:09:41.984Z","New Orleans","New Orleans, LA, USA","-90.0715323","29.95106579999999","Orleans Parish","ChIJZYIRslSkIIYRtNMiXuhbBts","LA"
"ORLEANS PARISH TEMPORARY DETENTION CENTER","","LA","SECURUS","2021-01-08T21:10:10.647Z","Orleans Parish Prison","2800 Gravier St, New Orleans, LA 70119, United States","-90.093051","29.9612","Orleans Parish","ChIJkfF4Se2lIIYRPtvxW_M0D90","LA"
"ORLEANS PARISH WORK RELEASE CENTER","","LA","SECURUS","2021-01-08T21:10:52.868Z","New Orleans Work Release","3200 Perdido St, New Orleans, LA 70119, United States","-90.09870029999999","29.9621824","Orleans Parish","ChIJVVVVVfKlIIYRX3yiWkYIcSU","LA"
"SHREVEPORT CITY JAIL","","LA","SECURUS","2021-01-08T21:11:22.934Z","Shreveport Police Jail","755 Hope St, Shreveport, LA 71101, United States","-93.7557223","32.5038128","Caddo Parish","ChIJO7uofEfNNoYRMONvYsPxxuY","LA"
"SLIDELL POLICE DEPT","","LA","SECURUS","2021-01-08T21:11:49.436Z","Slidell Police Department","2112 Sgt Alfred St, Slidell, LA 70458, United States","-89.7801119","30.2748667","St. Tammany Parish","ChIJ7UjZ9yHknYgRBstjJeiRY1g","LA"
"ST JOHN PARISH CORRECTIONAL CENTER","","LA","SECURUS","2021-01-08T21:12:29.751Z","St John Parish Sheriff's Office","1801 W Airline Hwy, Laplace, LA 70068, United States","-90.4995759","30.0721689","St. John the Baptist Parish","ChIJ__8_MtrTIIYRKQsB-BM2DAs","LA"
"TERREBONNE PARISH CRIMINAL JUSTICE BLD 2","","LA","SECURUS","2021-01-08T21:12:58.247Z","Terrebonne Parish Sheriff's Office","7856 W Main St #121, Houma, LA 70360, United States","-90.72237419999999","29.5958026","Terrebonne Parish","ChIJixRpRywFIYYRtVrYVuhQD9A","LA"
"TERREBONNE PARISH CRIMINAL JUSTICE COMPLEX","","LA","SECURUS","2021-01-08T21:13:38.970Z","Terrebonne Parish Juvenile Center","180 Government St, Gray, LA 70359, United States","-90.782507","29.688733","Terrebonne Parish","ChIJ032BofcDIYYRE3hVWC4Qt94","LA"
"ANDROSCOGGIN COUNTY JAIL","","ME","SECURUS","2021-01-08T21:14:23.058Z","Androscoggin County Jail","40 Pleasant St, Auburn, ME 04210, United States","-70.2272464","44.0982758","Androscoggin County","ChIJdRDQS85rskwRrQ_B0vS8TsY","ME"
"AROOSTOOK COUNTY JAIL","","ME","SECURUS","2021-01-08T21:14:54.634Z","Aroostook County Jail","15 Broadway, Houlton, ME 04730, United States","-67.8387457","46.1248034","Aroostook County","ChIJ8Vpi4xzCpEwRva1McNgnNNg","ME"
"CUMBERLAND COUNTY JAIL","","ME","SECURUS","2021-01-08T21:15:38.547Z","Cumberland County Jail","50 County Way, Portland, ME 04102, United States","-70.2816881","43.6509066","Cumberland County","ChIJ4b6_SAacskwRylrL1mSoQuM","ME"
"FRANKLIN COUNTY JAIL","","ME","SECURUS","2021-01-08T21:16:07.583Z","Franklin County Jail","121 County Way, Farmington, ME 04938, United States","-70.15757669999999","44.697131","Franklin County","ChIJ01c6nvibskwRFMkQXVz-kDg","ME"
"HANCOCK COUNTY JAIL","","ME","SECURUS","2021-01-08T21:16:37.367Z","Hancock County Jail","Hancock County Court House, 50 State St, Ellsworth, ME 04605, United States","-68.4258533","44.5426687","Hancock County","ChIJXXyEBbDxrkwRc1OQoWrLVIo","ME"
"KENNEBEC COUNTY JAIL","","ME","SECURUS","2021-01-08T21:17:21.061Z","Kennebec County Sheriff","125 State St #1, Augusta, ME 04330, United States","-69.7778558","44.313311","Kennebec County","ChIJHUjfZkoBskwREzFMNzW3Wjg","ME"
"KNOX COUNTY JAIL","","ME","SECURUS","2021-01-08T21:18:03.071Z","Knox County Sheriff's Office Maine - Correctional Facility","327 Park St, Rockland, ME 04841, United States","-69.13219289999999","44.1038432","Knox County","ChIJe278A8_PrUwRmwuxqGLTeYw","ME"
"OXFORD COUNTY JAIL","","ME","SECURUS","2021-01-08T21:18:47.963Z","Oxford County Jail","26 Western Ave, South Paris, ME 04281, United States","-70.51898179999999","44.2215026","Oxford County","ChIJ6WU7Pxs2skwRHMA4MRGS5Nk","ME"
"PENOBSCOT COUNTY JAIL","","ME","SECURUS","2021-01-08T21:19:20.290Z","Penobscot County Sheriff","85 Hammond St, Bangor, ME 04401, United States","-68.7726765","44.8023162","Penobscot County","ChIJb9zoH0VLrkwRW1SDDQApPf0","ME"
"PISCATAQUIS COUNTY JAIL","","ME","SECURUS","2021-01-08T21:19:50.779Z","Piscataquis County Jail","52 Court St, Dover-Foxcroft, ME 04426, United States","-69.22429559999999","45.1827194","Piscataquis County","ChIJGza84foisEwR087S8AkD89A","ME"
"SOMERSET COUNTY JAIL","","ME","SECURUS","2021-01-08T21:20:40.552Z","Somerset County Jail","131 E Madison Rd, Madison, ME 04950, United States","-69.7262977","44.7922734","Somerset County","ChIJpR0N2_jHsUwRLolsdmXj5Ag","ME"
"WALDO COUNTY JAIL","","ME","SECURUS","2021-01-08T21:21:26.452Z","County of Waldo - Correctional Facility","10 Public Safety Way, Belfast, ME 04915, United States","-69.0098675","44.4223194","Waldo County","ChIJ8c88CEVurkwRP2CsfAN8IS4","ME"
"WASHINGTON COUNTY JAIL","","ME","SECURUS","2021-01-08T21:22:10.049Z","Washington County Sheriff-Jail","83 Court St, Machias, ME 04654, United States","-67.4590034","44.7161364","Washington County","ChIJacgSr43NqEwRLpCbT4RjoFw","ME"
"YORK COUNTY JAIL","","ME","SECURUS","2021-01-08T21:22:55.750Z","York County Jail","1 Layman Way, Alfred, ME 04002, United States","-70.71758059999999","43.45351580000001","York County","ChIJCQyxgEm2skwRgvKssSUFimI","ME"
"CECIL COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:23:45.729Z","Cecil County Detention Center","500 Landing Ln, Elkton, MD 21921, United States","-75.8372298","39.5982567","Cecil County","ChIJnQHRXYilx4kR5BdinORCWTY","MD"
"DORCHESTER COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:24:15.367Z","Dorchester County Detention","829 Fieldcrest Rd, Cambridge, MD 21613, United States","-76.058702","38.5482029","Dorchester County","ChIJa-BYGz9KuIkRYd_1yMr26sc","MD"
"QUEEN ANNE'S COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:24:45.651Z","Queen Anne's County Detention Center","500 Little Hut Dr, Centreville, MD 21617, United States","-76.05339819999999","39.0427445","Queen Anne's County","ChIJs4e1c2tzuIkRLT4OmjLgU8s","MD"
"SOMERSET COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:25:31.676Z","Somerset County Detention Center","30474 Revells Neck Rd, Westover, MD 21871, United States","-75.695354","38.154152","Somerset County","ChIJY6ZS6mAKuYkRl3RgGryMc90","MD"
"TALBOT COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:26:16.961Z","Talbot County Detention Center","115 W Dover St, Easton, MD 21601, United States","-76.0790246","38.77483","Talbot County","ChIJW4Mw431AuIkRdlrBivADtOQ","MD"
"WORCESTER COUNTY DETENTION CENTER","","MD","SECURUS","2021-01-08T21:26:42.373Z","Worcester County Detention Center","5022 Joyner Rd, Snow Hill, MD 21863, United States","-75.3759013","38.1698775","Worcester County","ChIJO_m9dmgWuYkR4hOjPY8m_SE","MD"
"ASH STREET JAIL & REGIONAL LOCK UP","","MA","SECURUS","2021-01-08T21:27:12.573Z","Bristol County Jail House","226 Ash St, New Bedford, MA 02740, United States","-70.9344514","41.6335027","Bristol County","ChIJb9rNkY3j5IkRcy9Bl6ruDLQ","MA"
"BARNSTABLE COUNTY CORRECTIONS FACILITY","","MA","SECURUS","2021-01-08T21:28:02.059Z","Barnstable County Correctional Facility","6000 Sheriff's Place, Buzzards Bay, MA 02532, United States","-70.57222270000001","41.6770163","Barnstable County","ChIJJ9CNl0rO5IkRTe1Bnms_Qu4","MA"
"BERKSHIRE COUNTY HOUSE OF CORRECTIONS","","MA","SECURUS","2021-01-08T21:28:51.244Z","Berkshire County Sheriff's Office","467 Cheshire Rd, Pittsfield, MA 01201, United States","-73.2022237","42.4874196","Berkshire County","ChIJHZk5-hRM54kRRklh5l07eKM","MA"
"BERKSHIRE COUNTY JAIL","","MA","SECURUS","2021-01-08T21:29:37.467Z","Berkshire County Sheriff's Office","467 Cheshire Rd, Pittsfield, MA 01201, United States","-73.2022237","42.4874196","Berkshire County","ChIJHZk5-hRM54kRRklh5l07eKM","MA"
"BRISTOL COUNTY FAUNCE CORNER","","MA","SECURUS","2021-01-08T21:30:06.845Z","Bristol County Jail and House of Correction","400 Faunce Corner Rd, North Dartmouth, MA 02747, United States","-70.9955909","41.6656872","Bristol County","ChIJZV3pbLHk5IkRh0fB2XXIlck","MA"
"DUKES COUNTY JAIL","","MA","SECURUS","2021-01-08T21:30:58.721Z","Dukes County Jail","149 Main St, Edgartown, MA 02539, United States","-70.51944089999999","41.3915742","Dukes County","ChIJpWqubCQs5YkRezEszi8IGFo","MA"
"ESSEX COUNTY LAWRENCE CORRECTIONAL ALTERNATIVE CENTER","","MA","SECURUS","2021-01-08T21:31:29.270Z","Lawrence Correctional Alternative Center","165 Marston St, Lawrence, MA 01841, United States","-71.13588709999999","42.7142257","Essex County","ChIJ7bxT6vwG44kRWUFYxAEyu5U","MA"
"ESSEX COUNTY MIDDLETON  JAIL & HOC","","MA","SECURUS","2021-01-08T21:31:59.842Z","Essex County Sheriff's Department","20 Manning Ave, Middleton, MA 01949, United States","-70.98595","42.59751","Essex County","ChIJ13IzFs8R44kR8_ob8m3bifE","MA"
"ESSEX COUNTY WOMEN IN TRANSIT FACILITY","","MA","SECURUS","2021-01-08T21:32:48.896Z","Inn Transition","42 Washington St, Peabody, MA 01960, United States","-70.9247912","42.52191320000001","Essex County","ChIJcw1Igp4T44kRghHiKJXKwsI","MA"
"FRANKLIN COUNTY JAIL","","MA","SECURUS","2021-01-08T21:33:36.644Z","Franklin County Jail","160 Elm St, Greenfield, MA 01301, United States","-72.6125259","42.5970191","Franklin County","ChIJyfqHQE0v4YkRsOH4L0TnniM","MA"
"MA DOC - BAY STATE CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:34:24.272Z","Bay State Correctional Center","28 Clark St, Norfolk, MA 02056, United States","-71.29967049999999","42.1178567","Norfolk County","ChIJuTuRH3F75IkRj6IJp_Yfxo4","MA"
"MA DOC - BOSTON PRE-RELEASE CENTER","","MA","SECURUS","2021-01-08T21:35:14.040Z","Boston Pre-Release Center","430 Canterbury St, Roslindale, MA 02131, United States","-71.10166720000001","42.2926066","Suffolk County","ChIJdyupkVd544kR8y_7rlTjx1A","MA"
"MA DOC - BRIDGEWATER STATE HOSPITAL","","MA","SECURUS","2021-01-08T21:35:43.156Z","Bridgewater State Hospital","20 Admin Rd, Bridgewater, MA 02324, United States","-70.95210999999999","41.94627699999999","Plymouth County","ChIJU-fGtNOT5IkR2OhgATdd-Ls","MA"
"MA DOC - LEMUEL SHATTUCK HOSPITAL CORRECTIONAL UNIT","","MA","SECURUS","2021-01-08T21:36:13.638Z","Lemuel Shattuck Hospital Correctional Unit","180 Morton St, Jamaica Plain, MA 02130, United States","-71.1029198","42.3003994","Suffolk County","ChIJzYKtWlx544kR8I_eo2XWyqU","MA"
"MA DOC - MASAC CIVIL COMMITS","","MA","SECURUS","2021-01-08T21:37:24.056Z","MASAC at Plymouth","1 Bumps Pond Rd, Plymouth, MA 02360, United States","-70.6612414","41.848799","Plymouth County","ChIJ7wjTaFy45IkRlJqnN-04KvM","MA"
"MA DOC - MASS ALCOHOL & SUBSTANCE ABUSE CENTER","","MA","SECURUS","2021-01-08T21:37:54.043Z","MASAC at Plymouth","1 Bumps Pond Rd, Plymouth, MA 02360, United States","-70.6612414","41.848799","Plymouth County","ChIJ7wjTaFy45IkRlJqnN-04KvM","MA"
"MA DOC - MASSACHUSETTS TREATMENT CENTER","","MA","SECURUS","2021-01-08T21:38:30.867Z","Massachusetts Treatment Center","30 Admin Rd, Bridgewater, MA 02324, United States","-70.9571495","41.9466822","Plymouth County","ChIJvU0oTdKT5IkRnqcDnIT5ixM","MA"
"MA DOC - MCI CEDAR JUNCTION","","MA","SECURUS","2021-01-08T21:39:19.932Z","MCI-Cedar Junction","MA-1A, South Walpole, MA 02071, United States","-71.2904829","42.1043782","Norfolk County","ChIJg2yAa1975IkRS7nSD3gjG3Q","MA"
"MA DOC - MCI CONCORD","","MA","SECURUS","2021-01-08T21:40:10.164Z","MCI-Concord","965 Elm St, Concord, MA 01742, United States","-71.395797","42.465261","Middlesex County","ChIJr9ZrlZeQ44kR6E5paMyol4M","MA"
"MA DOC - MCI FRAMINGHAM","","MA","SECURUS","2021-01-08T21:41:03.467Z","MCI-Framingham","99 Loring Dr, Framingham, MA 01702, United States","-71.4086008","42.2672627","Middlesex County","ChIJR-e5kCKI44kR5doqP5ayWrU","MA"
"MA DOC - MCI NORFOLK","","MA","SECURUS","2021-01-08T21:41:39.985Z","MCI - Norfolk","2 Clark St, Norfolk, MA 02056, United States","-71.303754","42.118843","Norfolk County","ChIJcRvfk3F75IkRWQQFUWkzoJo","MA"
"MA DOC - MCI SHIRLEY","","MA","SECURUS","2021-01-08T21:42:27.862Z","MCI-Shirley","Harvard Rd, Shirley, MA 01464, United States","-71.64648009999999","42.5264114","Middlesex County","ChIJJ3S4dObr44kRxUqdKih--ro","MA"
"MA DOC - NORTH CENTRAL CORRECTIONAL INSTITUTION","","MA","SECURUS","2021-01-08T21:42:56.169Z","North Central Correctional Institute","500 Colony Rd, Gardner, MA 01440, United States","-71.940303","42.578701","Worcester County","ChIJSVt-P1Vf4YkR_TYZL4ltN4s","MA"
"MA DOC - NORTHEASTERN CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:43:46.493Z","Northeast Correctional Center","1 Barretts Mill Rd, Concord, MA 01742, United States","-71.39809199999999","42.472193","Middlesex County","ChIJh5D_mbuQ44kRfsK-yyAhqeM","MA"
"MA DOC - OLD COLONY CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:44:23.571Z","Old Colony Correctional Center","1 Admin Rd, Bridgewater, MA 02324, United States","-70.958108","41.94950499999999","Plymouth County","ChIJ06cOzNOT5IkRcDpUBd6jXMw","MA"
"MA DOC - PONDVILLE CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:45:01.275Z","Pondville Correctional Center","1 Industries Dr, Norfolk, MA 02056, United States","-71.2925813","42.1087932","Norfolk County","ChIJBTul12B75IkRZ8f7SlVfqu4","MA"
"MA DOC - SOUTH MIDDLESEX CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:45:50.856Z","South Middlesex Correctional Center","135 Western Ave, Framingham, MA 01701, United States","-71.405962","42.2653445","Middlesex County","ChIJexQ_DRiI44kRpxcA7no3E34","MA"
"MA DOC - SOUZA-BARANOWSKI CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:46:21.661Z","Souza-Baranowski Correctional Center","100 Harvard Rd, Shirley, MA 01464, United States","-71.6500077","42.5236744","Worcester County","ChIJ73YaZbvr44kRgvrV5_GQ9a4","MA"
"MIDDLESEX BILLERICA HOC","","MA","SECURUS","2021-01-08T21:46:55.747Z","Middlesex House of Correction and Jail","269 Treble Cove Rd, North Billerica, MA 01862, United States","-71.3030112","42.5557722","Middlesex County","ChIJVYP9lRGi44kRW-wsMfz_lGo","MA"
"NORFOLK COUNTY CORRECTIONAL CENTER","","MA","SECURUS","2021-01-08T21:47:45.368Z","Norfolk County Community Correctional Center","191 Parkingway, Quincy, MA 02169, United States","-71.0035682","42.2449471","Norfolk County","ChIJgdd_O8t844kR9svj8IEGdKA","MA"
